description,id,keywords,name,slug,thumbnail_url,cook_time,prep_time,total_time,ratings_negative,ratings_positive,score,protein,fat,calories,sugar,carbohydrates,fiber,owner_id,difficulty,servings,category
This raspberry goji berry smoothie is full of nutrient-dense ingredients to keep you feeling your best. Blend it up in minutes to jump-start your day!,5637,,Raspberry Goji Berry Smoothie,raspberry-goji-berry-smoothie,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/236110.jpg,2,5,7,7,40,86,12,14,436,32,73,17,mymealuser,2,5,
This avocado cacao smoothie is full of heart-healthy fats and tastes like dessert! Whip it up for breakfast to fuel you all day long!,5638,,Avocado Cacao Smoothie,avocado-cacao-smoothie,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/236110.jpg,2,5,7,11,149,94,16,28,650,33,89,14,mymealuser,3,4,
"If you love banana bread, these banana bread pancakes are a must-try! With caramelized grilled bananas and a to-die-for maple rum sauce, these pancakes make the most satisfying brunch. This content is intended solely for users of legal drinking age. Drink responsibly.",5639,"tasty, tasty_contains_alcohol, tasty_vegetarian",Banana Bread Pancakes With Grilled Maple Rum Bananas,banana-bread-pancakes-with-grilled-maple-rum-bananas,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/236129.jpg,30,15,45,7,41,86,8,46,809,47,91,6,mymealuser,1,3,vegetarian
"Don’t judge dessert by its name! Spotted Dick is a traditional British dessert that will make you feel like royalty.  The original recipe calls for suet, but we use butter for a modern twist.",5640,"afternoon tea recipes, british dessert, english baking, fancy cakes, railway cake , spotted dick, spotted dog, steamed currant pudding, sweet treats, tasty",Spotted Dick,spotted-dick,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/236470.jpg,103,25,143,97,227,71,18,48,796,35,78,2,mymealuser,3,4,dessert
"This hibiscus flower taco “meat” is a game changer for anyone looking for new meat alternatives. The texture is tender and chewy, similar to meat, and it takes on any flavor that you decide to pair it with. Get creative and have fun!",5644,"tasty, tasty_vegetarian",Hibiscus Flower Tacos,hibiscus-flower-tacos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237069.jpg,20,120,140,12,72,86,0,4,51,0,2,0,mymealuser,2,3,vegetarian
"You’ll love this Instant Pot Baby Back Ribs recipe. The meat practically falls off the bone when it’s finished, and it’s packed full of flavor from the dry rub and tangy bbq sauce. This recipe makes for a delicious and quick weeknight meal.",5648,"baby back ribs, delicious bbq sauce ribs, easy protein meals, fall off the bone ribs, instant pot recipes, instant pot ribs, tasty",Tangy Instant Pot Baby Back Ribs,tangy-instant-pot-baby-back-ribs,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237317.jpg,35,10,45,14,157,92,35,53,769,29,34,1,mymealuser,2,2,bbq
"Pastelón is a Puerto Rican dish with many interpretations across the island. Our version nestles thinly sliced, fried sweet plantains between layers of savory ground beef and mozzarella cheese. The beef mixture can be made a day before assembling the pastelón--just refrigerate until ready to use!",5649,", authentic, cheese, cheese pull, culture, dinner, ground beef, latin, maduros, mozzarella cheese, pastelon, plantains, puerto rican lasagna, savory, sweet",Pastelón,pastelon,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237368.jpg,105,30,210,24,391,95,11,56,964,85,108,4,mymealuser,2,6,
"Love fried chicken, but not wild about deep frying? Try baking it instead! These drumsticks are marinated in a flavor-packed buttermilk brine, then dredged in a crunchy mix of panko and cornflakes. After it’s baked to golden brown perfection, serve it with your favorite sides.",5654,"baked golden brown , crunchy panko and cornflakes mix, drumsticks marinated in buttermilk brine, easy chicken recipes, healthier fried chicken, smoky oven fried chicken, tasty",Smoky Oven-Fried Chicken,smoky-oven-fried-chicken,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237329.jpg,50,25,1215,19,193,92,34,13,470,10,50,1,mymealuser,1,3,
"Loaded with ooey gooey goodness, this dip is the ultimate appetizer! Pair it with crispy fried pasta chips for a fun twist. Bring on the cheese pulls!",5655,"alfredo dip, crispy chips and dip, easy party food, lasagna chips, recipe ideas for tailgating, tasty, unique appetizers, unique lasagna recipes",Chicken Alfredo Dip With Pasta Chips,chicken-alfredo-dip-with-pasta-chips,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237467.jpg,35,20,55,15,163,92,22,76,796,2,6,0,mymealuser,3,4,
"Light, fluffy, and filled with fall flavors, these apple fritters are easy as apple pie! You can use any apple of your choice. We prefer Granny Smith apples because they hold their shape during frying, and we love their sweet-tart taste. Top these fritters off with a simple glaze and serve them as a delicious breakfast or dessert.",5656,"35-minute snacks, apple fritters, easy vegan snacks, quick vegan appetizers, tasty, vegan food for a crowd, vegan holiday desserts",Vegan Apple Fritters,vegan-apple-fritters,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237495.jpg,15,20,35,7,57,90,11,56,964,85,108,4,mymealuser,3,6,dessert
"The hunt is over for the tastiest bite-sized treat! Topped with crystallized ginger, these gooey gingerbread balls dipped in chocolate are melt-in-your-mouth delicious. Serve them at your next holiday party or give them as a gift.",5658,"easy desserts for a crowd, fun holiday favorites, fun holiday recipes for kids, gingerbread recipes, gingerbread truffles, holiday treats, new ways to make cookies, tasty",Gingerbread Cake Truffles,gingerbread-cake-truffles,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237645.jpg,20,30,65,9,49,85,3,13,224,14,25,1,mymealuser,1,4,dessert
Take your meals on the go with these walking chip bags! Use this easy chili recipe with your favorite bag of corn chips for an entire meal that fits right in your hands. This is perfect for the kids or the big game!,5659,"chili cheese chips, chip bag meal, chip bag nachos, chip bag poutine, chips for a crowd, easy recipes for sports games, football sunday snacks, four ways recipes, fun recipes to make with kids, tailgating meals, tasty, tastysinglerecipe, turkey chili",Chili Cheese Chip Bag Meal,chili-cheese-chip-bag-meal,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237688.jpg,40,25,65,3,38,93,41,58,1143,16,122,18,mymealuser,2,2,
Take your meals on the go with these walking chip bags! This less-messy version of a nacho plate fits right inside your favorite bag of tortilla chips! This is perfect for the kids or the big game!,5660,"chili cheese chips, chip bag meal, chip bag nachos, chip bag poutine, chips for a crowd, easy recipes for sports games, football sunday snacks, four ways recipes, fun recipes to make with kids, tailgating meals, tasty, tastysinglerecipe, turkey chili",Chip Bag Nachos,chip-bag-nachos,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237688.jpg,40,51,25,1,40,98,14,16,262,5,13,2,mymealuser,2,5,low-carb
"Take your meals on the go with these walking chip bags! Enjoy the flavors of Canadian poutine, with delicious cheese curds and onion gravy, all inside your favorite bag of potato chips! This is perfect for the kids or the big game!",5661,"chili cheese chips, chip bag meal, chip bag nachos, chip bag poutine, chips for a crowd, easy recipes for sports games, football sunday snacks, four ways recipes, fun recipes to make with kids, tailgating meals, tasty, tastysinglerecipe, turkey chili",Chip Bag Poutine,chip-bag-poutine,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237688.jpg,15,58,52,33,34,51,11,56,964,85,108,4,mymealuser,3,2,
"Take your meals on the go with these walking chip bags! This delicious popcorn dessert bag filled with marshmallows, homemade caramel sauce, and melted milk chocolate will revolutionize your favorite popcorn. This is perfect for your next movie night!",5662,"chili cheese chips, chip bag meal, chip bag nachos, chip bag poutine, chips for a crowd, easy recipes for sports games, football sunday snacks, four ways recipes, fun recipes to make with kids, tailgating meals, tasty, tastysinglerecipe, turkey chili",Dessert Popcorn,dessert-popcorn,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237688.jpg,5,15,18,9,71,89,8,47,799,58,92,6,mymealuser,1,4,
This smoked watermelon serves as a really cool take on a smoked ham. Impress your friends with this mind-bending vegan substitute. The key to success with this recipe is properly smoking the melon and including a great dry rub to remove excess moisture. We promise it will be a meal they won’t soon forget.,5667,,Smoked Watermelon Ham,smoked-watermelon-ham,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/237824.jpg,35,44,29,160,85,35,1,1,191,39,45,1,mymealuser,3,3,
Zombies and the living will go crazy for these adorable brain sliders. They are easy to whip up and will be devoured in minutes.,5670,"brain sliders, easy appetizers, fun apps for kids, halloween treats, holiday treats, savory halloween snacks, spooky party foods, tasty",Brain Sliders,brain-sliders,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238405.jpg,16,27,41,15,92,86,19,19,424,13,41,1,mymealuser,1,5,
"Gulab jamun is the quintessential Indian dessert. Soft, fried dough balls dipped in a sugary sweet syrup. My Shobana kaki (dad’s brother’s wife) is the queen of gulab jamun. When I was young, we’d go to her house for dinner parties and she’d make homemade gulab jamun, and I had the hardest time keeping my hands away from them. A lot of people don’t know it, but making gulab jamun takes a lot of skill. It’s all about the technique, and sadly it’s a technique that I rarely get right. To make it easier to enjoy my favorite dessert, I turned it into an easy cardamom-spiced Bundt cake soaked in classic saffron sugar syrup!",5671,", cardamom-spiced bundt cake, classic indian dessert, gulab juman cake, hetal vasavada, saffron sugar syrup, tasty",Gulab Jamun Cake As Made By Hetal Vasavada,gulab-jamun-cake-as-made-by-hetal-vasavada,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238388.jpg,75,5,80,11,253,96,11,56,964,85,108,4,mymealuser,1,5,dessert
"The best part of Thanksgiving dinner might just be the leftovers. These waffles are no exception—leftover stuffing and melty cheddar cheese are crisped in a waffle iron, then topped with maple cranberry sauce. It’s an explosion of Thanksgiving flavor like you’ve never had before!",5676,"fun leftover ideas, maple cranberry sauce, revamped thanksgiving dish, stuffing waffles, tasty, thanksgiving leftovers, what to make with leftovers",Savory Stuffing Waffles,savory-stuffing-waffles,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238367.jpg,10,20,30,4,39,91,22,25,669,73,89,1,mymealuser,3,6,
Warm homemade apple pie filling fried in crispy egg roll wrappers? This quick and easy dessert is apple pie at your fingertips! Serve them with caramel sauce for an extra sweet finale.,5677,"apple pie egg rolls, caramel dipping sauce, fun apple pie ideas. easy to eat thanksgiving sides for kids, fun thanksgiving desserts, sweet egg rolls, tasty",Apple Pie Egg Rolls,apple-pie-egg-rolls,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238676.jpg,15,25,50,15,277,95,2,71,742,12,26,0,mymealuser,3,3,dessert
"It’s soup season! This hearty soup combines classic buffalo chicken flavors--it’s tangy, savory, and sure to warm you up. Served in bread bowls and garnished with blue cheese and scallions, this soup looks as good as it tastes!",5680,"blue cheese toppings, buffalo chicken soup, easy soup recipes, soup in bread bowls, soup season, soups to warm you up, tasty, unique soup recipes",Hearty Buffalo Chicken Soup With Blue Cheese And Scallions,hearty-buffalo-chicken-soup-with-blue-cheese-and-scallions,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238719.jpg,50,30,80,11,138,93,39,90,1289,21,78,3,mymealuser,3,4,
"A traditional Puerto Rican dish, arroz con gandules is rice cooked with green pigeon peas. This orange-hued dish is full of flavor from the herby, peppery sofrito and pairs nicely with stewed chicken, pork, or red beans. Don’t worry if the bottom layer burns a bit as you finish cooking the rice--this crispy layer is called pegao and is one of the best parts of the dish!",5683,"arroz, culture, gandules, hispanic heritage, one pot, pigeon peas, pimento, puerto rican, puerto rico, rice and beans, side dish, tasty, tasty_vegetarian",Arroz Con Gandules,arroz-con-gandules,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238851.jpg,55,20,75,24,405,95,5,51,521,5,17,10,mymealuser,3,2,vegetarian
"Dress up your donuts! Whether you’re ringing in the New Year or want to step up your brunch game, these donuts are the perfect excuse to break out the bubbly. Why celebrate with champagne when you can celebrate with champagne donuts?! This content is intended solely for users of legal drinking age. Drink responsibly.",5684,"appetizers for a party, champagne donuts, cute donuts, fun pastries for new years eve, glittery desserts, how to make donut holes, new years desserts, nye snacks, sweet donuts, tasty, tasty_contains_alcohol, toast with friends",Champagne Donuts,champagne-donuts,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238839.jpg,35,25,200,23,72,76,11,56,964,85,108,4,mymealuser,2,6,dessert
"The rich flavors of butter and rum in a sweet, crunchy treat. And it takes less than 30 minutes to make! Serve it your next holiday party or give it away as a gift, if you can keep yourself from eating the whole batch.",5686,"buttered rum brittle, desserts as gifts, easy holiday candy, easy to make brittle, good christmas recipes, holiday recipes, new ways to make brittle, rum flavored desserts, tasty",Buttered Rum Brittle,buttered-rum-brittle,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238856.jpg,7,10,17,19,93,84,0,1,102,24,23,2,mymealuser,3,2,dessert
"‘Tis the season to spread a little mint chocolate chip cheer! Coated in dark chocolate, these green-tinted, no bake cookies will be an instant standout at your next cookie exchange. They’re gluten-free, too!",5687,"20-minute prep, easy, easy cookies to gift, fun holiday treats, holiday cookies, mint cookies, no bake desserts, no bake mint chip cookies, tasty",No-Bake Mint Chip Cookies,no-bake-mint-chip-cookies,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238876.jpg,5,20,145,40,130,77,2,24,327,27,29,4,mymealuser,3,5,dessert
"Making this smoky, sweet, and savory spread is like keeping a secret weapon in your fridge. Stir into roasted Brussels sprouts, top a burger, spread on grilled cheese, dollop on mac n’ cheese, or just eat with a spoon!",5690,"bacon, bacon blue cheese burger, bacon brussel sprouts, bacon jam, bacon jam mac and cheese, brussel sprouts, cheese pull, cheesy, comfort food, grilled cheese, jam, mac and cheese, macaroni and cheese, maple, onion, smoky, versatile",Bacon Jam Hacks,bacon-jam-hacks,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239011.jpg,85,12,95,13,121,91,78,79,1405,75,91,2,mymealuser,1,4,bbq
"Feed your French fry craving and make these delicious fries at home! No matter your preference, there’s a dipping sauce for you--pick from curry ketchup, garlic chipotle mayo, or pesto mayo, or make all 3 for a DIY French fry bar.",5695,"belgian inspired, comfort food, crispy, curry ketchup, double fried, french fries, garlic chipotle mayo, indulge, pesto mayo, pommes frites, sauces, spice it up, tasty, tasty_vegetarian",French Fries 3 Ways,french-fries-3-ways,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239250.jpg,15,30,45,58,630,92,11,56,964,85,108,4,mymealuser,2,5,vegetarian
"Two comfort-food classics, one magical mashup! Pillowy gnocchi covered in a creamy cheese sauce is truly a Tasty dream come true. Trust us, you’ve never had mac and cheese like this before.",5713,"dinner sides , easy prep meals, easy sides to impress, gnocchi mac and cheese, gnocchi recipes, mac n cheese, new ways to make mac and cheese, tasty, upgraded appetizers",Gnocchi Mac And Cheese,gnocchi-mac-and-cheese,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239429.jpg,35,20,55,71,583,90,23,41,715,6,66,2,mymealuser,3,4,
"This ratatouille, pronounced rat-uh-too-ee, is the perfect vegetable stew this fall.  ",5716,"30-minute prep, easy ratatouille recipes, easy vegetarian recipes for the holidays, fall ratatouille, holiday recipes, seasonal ratatouille, tasty, thanksgiving recipes",Fall Ratatouille,fall-ratatouille,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239614.jpg,90,30,120,21,199,91,5,11,439,25,83,11,mymealuser,1,6,vegetarian
This batch of creamy butternut-flavored soup is the perfect fall meal for you and your loved ones.,5718,"tasty, tasty_contains_alcohol",Roasted Butternut Squash Soup,roasted-butternut-squash-soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239813.jpg,110,20,130,20,283,94,11,56,964,85,108,4,mymealuser,2,5,
"Spice up your Thanksgiving turkey with some Old Bay seasoning! Whether you serve it whole or serve it sliced, it’s sure to be a centerpiece that will have your friends and family fighting for seconds. They’ll be grateful for this gravy, too.",5721,"easy to share meals, fall boil, fall turkey, old bay seasoning turkey boil, potatoes, tasty, thanksgiving meal, turkey, turkey boil, unique thanksgiving ideas, vegetables",Old Bay Turkey Boil,old-bay-turkey-boil,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/239997.jpg,215,45,900,8,80,91,11,56,964,85,108,4,mymealuser,2,3,
This vegan jalapeño cornbread ring with cashew queso is an explosion of flavors and the perfect side for Thanksgiving and game day.,5723,"easy sides for sharing, fun ways to make cornbread, game day vegan recipes, jalapeño cornbread recipes, tasty, vegan cornbread, vegan jalapeño cornbread ring, vegan sides for holiday dinners",Vegan Jalapeño Cornbread Ring,vegan-jalapeno-cornbread-ring,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/240021.jpg,35,25,70,2,13,87,5,10,331,7,55,4,mymealuser,1,3,
"Dinner has never been easier than with this updated classic tuna casserole. Full of pantry staples, the dish comes together quickly. Make the casserole sauce, pour it over your favorite noodles, top it with cheese, and bake it off for a new weeknight staple.",5724,"casserole ideas for the holidays, cheesy tuna casserole, easy cheese casseroles, holiday recipes, one hour recipes, tasty, tastysinglerecipe, thanksgiving sides, tuna dishes for the holidays",Cheesy Tuna Casserole,cheesy-tuna-casserole,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/240449.jpg,20,40,60,75,828,92,24,44,691,6,47,2,mymealuser,1,2,
"Inspired by Curaçaoan pumpkin pancakes, these butternut squash pancakes bring you the perfect balance of fluffiness and butternut squash flavor.",5727,"butternut squash pancakes, butternut squash recipes, cinnamon and brown sugar pancake ideas, fall flavored recipes, holiday pancakes, nutty pancake recipes, pancakes for november, tasty, tastysinglerecipe",Butternut Squash Pancakes,butternut-squash-pancakes,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/240763.jpg,45,10,55,7,78,92,13,38,758,42,98,9,mymealuser,1,2,
"This light and fluffy savory donut is made with an egg souffle base, then topped with a creamy cheddar cheese sauce, crispy bacon crumbles, and freshly chopped chives for a quick and easy breakfast you can eat on the go, or even entertain a brunch crowd with!",5728,"45-minute recipes, bacon donut, bacon egg and cheese donuts, bacon egg and cheese recipes, brunch ideas, donuts for a crowd, easy to make donuts, new ways to eat donuts, savory donuts","Bacon, Egg, And Cheese Donuts",bacon-egg-and-cheese-donuts,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/240903.jpg,25,20,45,23,99,82,15,15,260,1,13,0,mymealuser,1,4,low-carb
"It’s a triple Tasty mash-up! Inspired by the infamous Turducken, we combined three existing Tasty recipes to make a sweet show-shopping centerpiece. From the smooth and silky cheesecake filling to the crunchy cookie base and churro border, the Churcookcake reminds us why we love dessert in the first place. Sure, this dish takes time to make, but the end result will leave you speechless.",5729,"chocolate chip cookie crust, churro cake, dessert ideas, fun cakes for kids , mash up recipes, sweet treats, tasty",Chocolate Chip Churcookcake,chocolate-chip-churcookcake,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/240916.jpg,215,10,875,25,170,88,11,56,964,85,108,4,mymealuser,2,4,dessert
"Pizza night couldn’t get any easier than these loaded garlic bread slices. With a variety of toppings, there’s something for everyone, or you can go all-in on your favorite combo.",5730,"30-minute, fun recipes for kids, garlic bread pizza, garlic toast, new ways to make pizza, pizza night ideas, quick pizza meals, tasty",15-Minute Garlic Bread Pizza,15-minute-garlic-bread-pizza,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/238353.jpg,10,20,30,31,602,96,8,10,172,1,10,0,mymealuser,1,6,low-carb
Kabocha is a perfect squash variety for baking!,5735,"easy dessert recipes, japan, kabocha squash flan, milk pudding, tasty, unique desserts, unique flan recipes",Kabocha Flan,kabocha-flan,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/241288.jpg,41,10,720,20,68,78,5,11,191,18,20,0,mymealuser,3,2,dessert
"Fruity, boozy, and bougie, these bright pink macarons are infused with a fresh strawberry and rosé wine reduction, and topped with edible glitter. Perfect for any date night, or girl’s night! This content is intended solely for users of legal drinking age. Drink responsibly.",5743,"cute date night recipes, desserts for ladies night, how to make macaroons, rosé desserts, rosé wine macaroon, strawberry rosé macarons, tasty, tasty_contains_alcohol",Strawberry Rosé Macarons,strawberry-rose-macarons,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/241799.jpg,90,10,1560,42,192,83,1,2,87,11,12,0,mymealuser,1,4,low-carb
"An elevated take on a traditional side dish, these cornbread muffins are made with blue cornmeal and yellow corn kernels for an added touch of sweetness, texture, and color. If that’s not enough, we serve these muffins with delicious herbed honey butter.",5747,"blue corn cornbread muffin, blue cornbread, easy corn bread, fun cornbread ideas, game day appetizers, herbed honey butter, holiday breads, new ways to make muffins, sides to take to a party, tasty",Blue Corn Cornbread Muffins,blue-corn-cornbread-muffins,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/241888.jpg,20,20,40,9,32,79,4,2,172,23,33,0,mymealuser,2,6,
"No, it’s not a typo! Sweet meets savory in this fun twist on the classic appetizer. Enjoy as is, or pair these with your favorite cheese, such as Brie, goat, or blue, for even more flavor.",5749,"appetizers for the holidays, cheesy appetizer, classic appetizer, easy to make appetizers, figs in a blanket, finger foods, fun appetizers for sharing, sweet meets savory, tasty, twist on pigs in a blanket, vegetarian pigs in a blanket",Figs In A Blanket,figs-in-a-blanket,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/241816.jpg,20,60,80,35,33,49,0,0,37,6,7,0,mymealuser,3,4,vegetarian
"This delicious butter cake is a slightly sweeter and more festive spin on a German tea-time classic. Making this cake a day ahead of serving allows the apples to infuse the cake, and it means there’s one less thing to do the day of. Pair with ice cream or fresh unsweetened whipped cream!",5750,"butter cake, easy tea time cake, german tea time, honey glazed german apple cake, quick prep cake, tasty",Honey-Glazed German Apple Cake,honey-glazed-german-apple-cake,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/242001.jpg,45,20,65,18,270,94,2,1,134,18,29,1,mymealuser,2,6,
Skip the eggs and dairy but none of the flavor with this drool-worthy vegan French toast! Serve with a tofu scramble for the ultimate vegan brunch!,5754,"tasty, tasty_vegetarian",Vegan French Toast,vegan-french-toast,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/242574.jpg,30,10,40,26,141,85,16,60,795,63,54,10,mymealuser,3,5,vegetarian
"Why waste your leftover mashed potatoes when you can make these mashed potato donuts instead? The milk, butter, and salt in your mashed potatoes makes these donuts even tastier, and a roll in cinnamon sugar after frying gives them an irresistible crunch. Depending on the consistency of your mashed potatoes, you may need to add additional flour during kneading, just until the dough is no longer sticky.",5755,,Leftover Mashed Potato Donuts,leftover-mashed-potato-donuts,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/242575.jpg,50,10,90,37,118,77,4,100,1086,16,43,1,mymealuser,2,3,
"Dinner for breakfast! This steak and egg hash is full of vegetables and protein, the perfect start to your day! Sear off the steak fresh, or use leftovers from the night before to make this dish even easier to pull together.",5756,,Steak And Eggs Hash,steak-and-eggs-hash,https://img.buzzfeed.com/video-api-prod/assets/2761a0294c9540f4aa4e663e9403503b/SteakandEggHash_Thumbnail_FB.jpg,35,25,55,43,689,95,22,20,486,8,56,6,mymealuser,1,5,
This content is intended solely for users of legal drinking age. Drink responsibly.,5766,,Jamaican Rum-Glazed BBQ Pig’s Tail,jamaican-rum-glazed-bbq-pigs-tail,https://img.buzzfeed.com/tasty-app-user-assets-prod-us-east-1/recipes/253d0de61fb04d2f85e267165e812a72.jpeg,29,34,16,0,0,,54,33,1023,81,103,2,mymealuser,1,2,bbq
"This crisp is sure to be the apple of your eye! What could be better than warm, thinly sliced apples baked with a crunchy cinnamon brown sugar streusel topping? Your guests won’t even guess it’s gluten-free. Don’t forget to serve it with a scoop of vanilla ice cream for an extra-sweet spoonful.",5773,,Gluten-Free Apple Crisp,gluten-free-apple-crisp,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/e5655d146726442780463d611984bfa4/BFV61760_GlutenFreeThanksgivingHacks_111219_KP_OO_V001.jpg,3600,900,6900,2,30,94,8,14,390,41,63,8,mymealuser,2,2,
"Forget the bread crumbs! Add some extra crunch to everything from your green bean casserole to your favorite steak or soups with these fried shallots. They make a delicious gluten-free snack, too.",5775,,Gluten-Free Crispy Fried Shallots,gluten-free-crispy-fried-shallots,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/b316b701a49945d28a1a12bec01c8691/BFV61760_GlutenFreeThanksgivingHacks_111219_KP_OO_V001.jpg,20,15,35,1,8,89,11,56,964,85,108,4,mymealuser,3,5,
"Who said stuffing had to be made with bread? In this recipe, we’ve swapped out bread with a wild rice blend and mixed it with all of our favorite fixings. There’s a perfect balance of sweet and savory in every bite.",5776,,Gluten-Free Wild Rice Stuffing,gluten-free-wild-rice-stuffing,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/34afde9d6cfd4932a44b1e311d8b97d8/BFV61760_GlutenFreeThanksgivingHacks_111219_KP_OO_V001.jpg,70,40,125,2,15,89,19,27,556,12,59,6,mymealuser,1,3,
This dairy-free pumpkin ginger soup is the perfect warming dish to welcome in fall! The slight bite from the jalapeño and Sriracha perfectly balances out the sweetness from the pumpkin. Whip it up this weekend for a cozy day in!,5779,"tasty, tasty_vegetarian",Pumpkin Ginger Soup,pumpkin-ginger-soup,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/video-api/assets/243358.jpg,35,10,45,19,92,83,11,100,1178,77,66,9,mymealuser,1,2,vegetarian
"Bring in fall with some homemade caramel apples. Make your caramel dip, which comes together with less than five ingredients and can be stored and reheated on the stove. Then roll your apple in you favorite nut topping and coat to your heart’s desire! (see guidelines)",5781,"caramel apples with crushed nuts, chamoy tajín caramel apples, cookies n’ cream caramel apples, easy caramel for apples, fall recipe ideas, four new ideas for caramel apples, fun recipes for kids, how to make caramel dip, how to use leftover apples, marshmallow cereal caramel apples, new toppings on caramel apples, recipes 4 ways, upgraded caramel apples",Caramel Apples With Crushed Nuts,caramel-apples-with-crushed-nuts,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/51fc6891f35941069960dc0ea5fe4ef1/BFV61145_CaramelApple_AE_102919_V002_FB.jpg,30,10,60,17,52,76,6,36,613,65,80,8,mymealuser,3,4,
"Bring in fall with some homemade caramel apples. Make your caramel dip, which comes together with less than five ingredients and can be stored and reheated on the stove. Then roll your apple in you favorite crushed cookies for a caramel apple with a spin!",5782,"caramel apples with crushed nuts, chamoy tajín caramel apples, cookies n’ cream caramel apples, easy caramel for apples, fall recipe ideas, four new ideas for caramel apples, fun recipes for kids, how to make caramel dip, how to use leftover apples, marshmallow cereal caramel apples, new toppings on caramel apples, recipes 4 ways, upgraded caramel apples",Cookies N’ Cream Caramel Apples,cookies-n-cream-caramel-apples,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/7f6f7c7017f64b219bec33d68eaaa844/BFV61145_CaramelApple_AE_102919_V002_FB.jpg,30,10,60,9,43,83,6,44,806,97,115,7,mymealuser,3,4,
"Bring in fall with some homemade caramel apples. Make your caramel dip, which comes together with less than five ingredients and can be stored and reheated on the stove. Then roll your apple in tajin for a spicy fun twist!",5783,"caramel apples with crushed nuts, chamoy tajín caramel apples, cookies n’ cream caramel apples, easy caramel for apples, fall recipe ideas, four new ideas for caramel apples, fun recipes for kids, how to make caramel dip, how to use leftover apples, marshmallow cereal caramel apples, new toppings on caramel apples, recipes 4 ways, upgraded caramel apples",Chamoy Tajín Caramel Apples,chamoy-tajin-caramel-apples,https://img.buzzfeed.com/thumbnailer-prod-us-east-1/9bf2afcdbaf34462b1273e7b913d42d9/BFV61145_CaramelApple_AE_102919_V002_FB.jpg,30,10,60,7,29,81,4,28,537,66,83,10,mymealuser,1,5,
